Signal Legend:

Key        Signal Name

0        = rom:inst2|q
1        = fft:inst1|source_real
2        = fft:inst1|source_imag
3        = data_modulus:inst9|data_modulus
4        = fir:inst|ast_source_data

Data Table:

Signals-> 0     1    2    3   4        

sample

243       -2048 0    0    0   -3893248 
244       2047  0    0    0   -3893248 
245       2047  0    0    0   -3893248 
246       2047  0    0    0   -3893248 
247       2047  -18  20   0   -3893248 
248       2047  0    0    0   -3893248 
249       2047  0    0    0   -3893248 
250       2047  0    0    26  -3893248 
251       2047  0    0    0   -3893248 
252       2047  0    0    0   -3893248 
253       2047  0    0    0   -3893248 
254       2047  0    0    0   -3893248 
255       2047  -14  -29  0   -3893248 
256       2047  0    0    0   -3893248 
257       2047  0    0    0   -3893248 
258       2047  0    0    32  -3893248 
259       2047  0    0    0   -3893248 
260       2047  0    0    0   -3893248 
261       2047  0    0    0   -3893248 
262       2047  0    0    0   -3893248 
263       2047  34   -2   0   -3893248 
264       2047  0    0    0   -3889153 
265       2047  0    0    0   -3876868 
266       2047  0    0    34  -3852298 
267       2047  0    0    0   -3811348 
268       2047  0    0    0   -3745828 
269       2047  0    0    0   -3651643 
270       2047  0    0    0   -3520603 
271       2047  -12  33   0   -3344518 
272       2047  0    0    0   -3123388 
273       2047  0    0    0   -2849023 
274       2047  0    0    35  -2525518 
275       2047  0    0    0   -2148778 
276       2047  0    0    0   -1726993 
277       2047  0    0    0   -1264258 
278       2047  0    0    0   -772858  
279       2047  -13  -42  0   -260983  
280       2047  0    0    0   259082   
281       2047  0    0    0   770957   
282       2047  0    0    43  1262357  
283       2047  0    0    0   1725092  
284       2047  0    0    0   2146877  
285       2047  0    0    0   2523617  
286       2047  0    0    0   2847122  
287       2047  49   13   0   3121487  
288       2047  0    0    0   3342617  
289       2047  0    0    0   3518702  
290       2047  0    0    50  3649742  
291       2047  0    0    0   3743927  
292       2047  0    0    0   3809447  
293       2047  0    0    0   3850397  
294       2047  0    0    0   3874967  
295       2047  -44  41   0   3887252  
296       2047  0    0    0   3891347  
297       2047  0    0    0   3891347  
298       2047  0    0    60  3891347  
299       2047  0    0    0   3891347  
300       2047  0    0    0   3891347  
301       2047  0    0    0   3891347  
302       2047  0    0    0   3891347  
303       2047  -14  -72  0   3891347  
304       2047  0    0    0   3891347  
305       2047  0    0    0   3891347  
306       2047  0    0    73  3891347  
307       2047  0    0    0   3891347  
308       2047  0    0    0   3891347  
309       2047  0    0    0   3891347  
310       2047  0    0    0   3891347  
311       2047  87   35   0   3891347  
312       2047  0    0    0   3891347  
313       2047  0    0    0   3891347  
314       2047  0    0    93  3891347  
315       2047  0    0    0   3891347  
316       2047  0    0    0   3891347  
317       2047  0    0    0   3891347  
318       2047  0    0    0   3891347  
319       2047  -105 77   0   3891347  
320       2047  0    0    0   3891347  
321       2047  0    0    0   3891347  
322       2047  0    0    130 3891347  
323       2047  0    0    0   3891347  
324       2047  0    0    0   3891347  
325       2047  0    0    0   3891347  
326       2047  0    0    0   3891347  
327       2047  -13  -217 0   3891347  
328       2047  0    0    0   3891347  
329       2047  0    0    0   3891347  
330       2047  0    0    217 3891347  
331       2047  0    0    0   3891347  
332       2047  0    0    0   3891347  
333       2047  0    0    0   3891347  
334       2047  0    0    0   3891347  
335       2047  571  314  0   3891347  
336       2047  0    0    0   3891347  
337       2047  0    0    0   3891347  
338       2047  0    0    651 3891347  
339       2047  0    0    0   3891347  
340       2047  0    0    0   3891347  
341       2047  0    0    0   3891347  
342       2047  0    0    0   3891347  
343       2047  0    0    0   3891347  
344       2047  0    0    0   3891347  
345       2047  0    0    0   3891347  
346       2047  0    0    0   3891347  
347       2047  0    0    0   3891347  
348       2047  0    0    0   3891347  
349       2047  0    0    0   3891347  
350       2047  510  -408 0   3891347  
351       2047  0    0    0   3891347  
352       2047  0    0    0   3891347  
353       2047  0    0    653 3891347  
354       2047  0    0    0   3891347  
355       2047  0    0    0   3891347  
356       2047  0    0    0   3891347  
357       2047  0    0    0   3891347  
358       2047  96   196  0   3891347  
359       2047  0    0    0   3891347  
360       2047  0    0    0   3891347  
361       2047  0    0    218 3891347  
362       2047  0    0    0   3891347  
363       2047  0    0    0   3891347  
364       2047  0    0    0   3891347  
365       2047  0    0    0   3891347  
366       2047  -127 31   0   3891347  
367       2047  0    0    0   3891347  
368       2047  0    0    0   3891347  
369       2047  0    0    130 3891347  
370       2047  0    0    0   3891347  
371       2047  0    0    0   3891347  
372       -2048 0    0    0   3891347  
373       -2048 0    0    0   3891347  
374       -2048 -1   -94  0   3891347  
375       -2048 0    0    0   3891347  
376       -2048 0    0    0   3891347  
377       -2048 0    0    94  3891347  
378       -2048 0    0    0   3891347  
379       -2048 0    0    0   3891347  
380       -2048 0    0    0   3891347  
381       -2048 0    0    0   3891347  
382       -2048 72   15   0   3891347  
383       -2048 0    0    0   3891347  
384       -2048 0    0    0   3891347  
385       -2048 0    0    73  3891347  
386       -2048 0    0    0   3891347  
387       -2048 0    0    0   3891347  
388       -2048 0    0    0   3891347  
389       -2048 0    0    0   3891347  
390       -2048 -25  55   0   3891347  
391       -2048 0    0    0   3891347  
392       -2048 0    0    0   3887252  
393       -2048 0    0    60  3874967  
394       -2048 0    0    0   3850397  
395       -2048 0    0    0   3809447  
396       -2048 0    0    0   3743927  
397       -2048 0    0    0   3649742  
398       -2048 -41  -31  0   3518702  
399       -2048 0    0    0   3342617  
400       -2048 0    0    0   3121487  
401       -2048 0    0    51  2847122  
402       -2048 0    0    0   2523617  
403       -2048 0    0    0   2146877  
404       -2048 0    0    0   1725092  
405       -2048 0    0    0   1262357  
406       -2048 34   -28  0   770957   
407       -2048 0    0    0   259082   
408       -2048 0    0    0   -260983  
409       -2048 0    0    44  -772858  
410       -2048 0    0    0   -1264258 
411       -2048 0    0    0   -1726993 
412       -2048 0    0    0   -2148778 
413       -2048 0    0    0   -2525518 
414       -2048 18   35   0   -2849023 
415       -2048 0    0    0   -3123388 
416       -2048 0    0    0   -3344518 
417       -2048 0    0    39  -3520603 
418       -2048 0    0    0   -3651643 
419       -2048 0    0    0   -3745828 
420       -2048 0    0    0   -3811348 
421       -2048 0    0    0   -3852298 
422       -2048 -34  9    0   -3876868 
423       -2048 0    0    0   -3889153 
424       -2048 0    0    0   -3893248 
425       -2048 0    0    35  -3893248 
426       -2048 0    0    0   -3893248 
427       -2048 0    0    0   -3893248 
428       -2048 0    0    0   -3893248 
429       -2048 0    0    0   -3893248 
430       -2048 -1   -31  0   -3893248 
431       -2048 0    0    0   -3893248 
432       -2048 0    0    0   -3893248 
433       -2048 0    0    31  -3893248 
434       -2048 0    0    0   -3893248 
435       -2048 0    0    0   -3893248 
436       -2048 0    0    0   -3893248 
437       -2048 0    0    0   -3893248 
438       -2048 29   5    0   -3893248 
439       -2048 0    0    0   -3893248 
440       -2048 0    0    0   -3893248 
441       -2048 0    0    29  -3893248 
442       -2048 0    0    0   -3893248 
443       -2048 0    0    0   -3893248 
444       -2048 0    0    0   -3893248 
445       -2048 0    0    0   -3893248 
446       -2048 -11  25   0   -3893248 
447       -2048 0    0    0   -3893248 
448       -2048 0    0    0   -3893248 
449       -2048 0    0    27  -3893248 
450       -2048 0    0    0   -3893248 
451       -2048 0    0    0   -3893248 
